GrantIDs	Counter
R01 HL088521	5
R01 CA049449	56
U01 AG062602	2
G0800523	4
217065/Z/19/Z	8
105621/Z/14/Z	2
PI-0001/2017	1
PI16/01443	1
PI19/01312	1
GEHEP-011	1
RD16/0025/0040	1
R01 DA047063	3
R01 DA052846	1
R01 DA047820	2
R01 DA042691	3
I01 BX003341	4
MC_PC_17112	2
G0902227	14
U24 AG021886	73
R01 AG067501	2
MR/M009076/1	3
G0601022	1
MR/T04604X/1	7
N01AG12100	70
082604/2/07/Z	6
G9901400	1
U01 AG049505	37
U01 AG016976	35
G0801418	24
MR/K013041/1	14
503480	5
P30 AG066462	5
G1100540	9
U01 AG058589	3
G0600237	39
G0300429	15
G0900652	8
G0400074	8
MR/L501517/1	10
G0502157	8
KL2 TR002317	2
U01 HG007376	17
P30 CA013148	2
HHSN268200417175C	2
RIMGECH-217RT0524	1
PID 2018	1
2018-2021	1
310679/2016-8	1
PPM-00428-17	1
R35 CA197461	3
PJY-159710	2
T2023973	1
1R01HL113189	1
SAF2017-83417R	3
P60MD006902, R01MD010443, and R56MD013312	1
M-ULL	1
Amos Medical Faculty Development Program	1
R01ES015794	2
R21ES24844	2
R01HL128439, R01HL135156, R01HL141992, and R01HL141845	1
RYC-2015-17205	1
R01HL117004 and X01HL134589	1
Distinguished Professorship in Pharmaceutical Sciences II	1
U01HG009080	3
24RT-0025 and 27IR-0030	1
PRE2018-083837	1
RL5GM118984	2
P01 CA151135	4
HHSN268201800011I	5
R01 CA202981	1
HHSN268201800012I	6
HHSN268201800012C	9
U01 CA164974	4
R01 CA098663	10
HHSN268201800014I	7
HHSN268201800014C	9
R01 HD056465	16
HHSN268201800011C	7
U24 AG051129	9
K99 HD099330	5
HHSN268201800010I	5
U01 CA202979	1
R03 DE027103	1
R37 DE008559	14
R37-DE008559	1
R01-DE016148	5
U01 DE024425	8
R01-DE009886	1
R00-DE025060	2
R21-DE016930	2
U01-DE018993	2
X01-HG007821	2
U01 DE018993	16
R01-DE014581	1
R01 DE014581	9
R01- DE012472	1
U01-DE024425	2
X01-HG007485	2
R01 DE028342	2
T32 EY021453	6
DP2 AG072437	1
K01 AG051791	1
NRF2014M3C7A1046042	1
2014M3C7A1046049	1
R35 HG010692	2
R01 NS112499	1
R35HG010692	1
T32HL007698	1
T32 HL007698	1
2020-31455	1
U01 CA069417	11
R01 CA089085	3
R01 CA142996	6
P30 ES013508	19
UM1 CA164974	10
Z01 ES044005	7
R03 CA227357	1
R01 CA100598	9
P50 CA058223	17
R01 CA100374	14
R01 CA228198	3
P20 CA233307	1
R01 CA058420	9
R01 CA242929	1
K05 CA136967	3
R01 CA063464	43
R37 CA054281	41
G952010	3
N01HC95184	3
R01 HL110380	6
R01 HL110400	4
T32 HL007457	1
P30 DK036836	9
N01HC95181	3
N01HC95179	3
N01HC95182	3
N01HC95183	3
UL1 TR000064	14
Y01 HC001010	3
K01 HL141690	5
U01 GM074492	18
R01 HL123782	3
Y01 HC009035	3
UL1 RR029890	3
R01 NS073346	3
R01 HL074730	6
UL1 TR000454	22
G9521010	46
R35 HL155466	3
U01 NS038529	2
N01HC95180	3
R01 HL063082	2
N01HC95178	3
U01 AG046152	6
P50 AG016574	30
RF1 AG051504	10
R01 NS080820	14
P30 AG062677	4
P01 AG017216	8
R01 AG018023	9
U01 AG061356	4
U01 AG046170	1
R01 AG036042	3
R01 AG027924	1
R01 AG061796	5
R01 AG032990	12
R37 AG027924	1
RC2 AG036547	2
RF1 AG057473	2
U01 AG046139	15
P01 AG003949	8
U24 NS072026	7
U01 AG046161	2
P30 AG019610	29
R01 AG048015	5
P50 AG025711	6
U01 AG006786	13
R01 AG036836	5
R56HL153460	1
HHSN268200900018C	3
HHSN268200900014C	3
HHSN268200900016C	3
HHSN268200900019C	3
IK2 RX002165	1
HHSN268200900013C	3
U01 HL137880	4
R00HL121087	1
R01 HL153460	1
HHSN268200900017C	3
R01HL153460	1
U24 HL141762	1
R01HL135142	1
R01 HL151452	1
HHSN268200900020C	4
R56 HL153460	1
HHSN268200900015C	3
R01 HL14714	1
R03 AG054936	7
R03 AG063250	2
U01 HG011175	1
R01 HG011138	1
FC001134	3
U19 AG063744	2
MC_PC_13046	3
AA/18/6/34223	1
RF1 AG059093	3
U01 AG061359	4
RF1 AG058942	3
R35 HG010718	2
RF1 AG057452	3
R00AG052604	1
R21 AG060018	1
R21AG060018	1
R00 AG052604	1
MR/S009892/1	1
R37 MH057881	11
R01 MH057881	7
R01 AG027224	7
R01 MH116046	1
R01 AG068398	1
R01HL137927; R01 HL147148; R01 HL133135;P01 HL114501	1
K08HL136928,R01HL089856	1
ZO1 ES43012	2
WT202849/Z/16/Z	3
Z01 ES043012	7
P01 HL114501	3
T32 HL007427	16
R01HL137927; R01HL135142	1
T32HL007427	2
R01 HL147148	3
12182	1
UNCE/MED/006	1
PI0902102	1
IG 17177	1
R01 MH117646	2
R01 CA124709	6
R35 CA220500	1
R01 CA180692	1
MR/M008959/1	1
R01 EY022310	10
MR/P025838/1	2
MR/N00583X/1	1
R01 DC017175	2
R21 DC016723	2
HHSN268201100012C	119
HHSN268201100010C	124
U01 HL096902	10
RF1 AG054023	12
R01 AG033193	60
HHSN268201500001I	43
U01 HL096812	9
R01 NS017950	65
R01 AG034189	2
R01 AG054076	26
HHSN268201100008C	122
HHSN268201500001C	31
K24 AG045334	1
HHSN268201100005G	102
U01 HL096917	22
R56 AG034189	1
HHSN268201100007C	119
R01 NS087541	16
K99 AG042483	1
HHSN268201100011I	106
HHSN268201100011C	127
P01 AG007232	7
R01 AG049607	9
HHSN268201100006C	119
R00 AG042483	1
R01 AG008122	42
U01 HL096814	8
R01 AG033040	10
R01 AG037212	12
HHSN268201100009C	120
R01 HL070825	13
HHSN268201100005C	123
U01 HL096899	10
UL1 TR001873	1
R01 AG081220 	1
A092077	1
R01 EY020483	7
MOST 107-2221-E-010-010-MY3, MOST 108-2314-B-016-023-	1
TSGH-C108-100, TSGH-D-109101, TSGH-D-109-185, TSGH-D-110048	1
TSGH-E-110195	1
F31 HL154537	1
F31 MH124393	1
K25 HL150334	1
DP2 ES030554	2
MR/L006758/1	16
MR/S000607/1	3
713-24120	1
14505/2470	2
HIMAG-108	1
01ZX1906B	1
